class,f,t,x,y
_:b0,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#CabernetFrancGrape,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#madeFromGrape,,
_:b1,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#CabernetFrancGrape,http://www.w3.org/TR/2003/PR-owl-guide-20031209/wine#madeFromGrape,,
