z,d
Surface Area - Brooklyn ,242
Surface Area - Queens ,102
Surface Area - Manhattan ,786
Subways ,1275
Surface Area - Bronx ,115
Total Unsheltered Individuals ,2648
Surface Area - Staten Island ,128
Surface Total ,1373
